Sentence,Emotion
đúng rồi . trái tim thảo mai này dễ rung động lắm nên các anh hay cả các chị và các bạn đừng thả thính em . em đập cho 😭,Anger
nhưng nó lại đéo thích :>,Other
ngu thì chết thôi,Disgust
nói chung là ai nào buông tay thì người chết vẫn là mấy đứa con gái như tao 😭,Sadness
nhớp nhúa,Disgust
"muôn đời không khá được vì cái thói tham vặt , tham lam vô đáy việt nam ạ",Disgust
"ngày xưa đi học gần trường có bày ngỗng , hôm nào nó cũng cà khía rượt tụi học sinh chạy sấp mặt luôn",Fear
sao lại bất công thế,Sadness
nó đi theo gái thì co,Disgust
là gặp đúng người nhưng lại chẳng đúng thời điểm . cuối cùng vẫn là chúng ta bỏ lỡ nhau 😥😥😥,Sadness
chuẩn khi người ta gặp nạn không lo cứu đứng lấy dt ra quay rùi đăng kẻ đó mới là người cần lên án,Disgust
chia buồn cùng nước pháp .,Sadness
con nhà mất dạy,Disgust
sau này mình có được như vầy không nhỉ 😊,Other
1 % kìa rồi ra cổng gọi thế nào :)),Fear
lúc dỗi thì càng dễ thương hơn,Enjoyment
hình vui mà sao đọc lại muốn khóc nhĩ ...,Sadness
cách tạo nghiệp chướng nhanh và hiệu quả :)),Enjoyment
trông mặt buồn chưa kìa per :(,Sadness
giá như anh được ào rơi về quá khứ ....,Other
tao thì muốn là đéo bao giờ . nhưng mẹ tao thì muốn ngay bây giờ 😢,Sadness
đã tới tuổi thay đường ray rồi mà không thay,Other
chuột mà làm như người vậy .. ít hôm nó gặm cả rắn cả dây thì thấy mẹ ..,Fear
cái quần tà lỏn xanhhhh,Other
thật tình mà nói cao su phát triển đất đồi là sai lầm .,Other
mấy bé đừng tưởng giận lại là ngon ạ :v có khi giận lại xog nó giết luôn đấy :),Other
per mốt mua son anh sài luôn,Other
"per bất hạnh thật tao với mày mua bánh ăn chung đi , cóc cần gấu 🤨",Anger
tội quá ! nuôi mà không chăm sóc,Sadness
không phải ai cũng vậy nên đừng thấy mập rồi tưởng mình hát hay 😌,Disgust
bao giờ mua bánh tặng gấu thì tao mới mua nhá . ở đấy mà chê tao bất hạnh,Anger
rất nguy hiểm nhé nhảy không qua là xác định dập mặt,Fear
đm nhà bà . con gái người ta nuôi lớn không báo đáp được gì đã về làm dâu nhà bà . nó lấy chồng chứ có làm giúp việc cho nhà bà đâu mà hành hạ nó thế .,Anger
"xã hội thật phức tợp , huhu . không muốn sống chung loài người nữa , tao về núi đây",Fear
đã khóc . cha mẹ là người luôn yêu thương minh nhất,Sadness
không lo chạy bo đi còn tạo sấm sét doạ người lứa,Disgust
ngày xưa đi học đạp xe qua cứ tưởng được quay phim đưa lên truyền hình :)),Enjoyment
lừa cả tỉ đồng mà đóng phạt 5tr :)) thế này thì răn đe cũng,Disgust
hay qua hoc theo cho vui,Enjoyment
bụng công nhân thành hố chôn lợn dịch,Disgust
tươi ngon sạch sẽ thì đéo thích ăn . cứ thích ăn cút trâu cứt bò,Disgust
đáng yêu vậy =))),Enjoyment
"per lại nữa , tao dg suy nghĩ có nên đi bằng rap về không",Sadness
nhìn sợ vãi ra,Fear
"bởi vậy , nên tỏ ra là 1 người không cảm xúc",Other
cả 1 đời người chẳng mong gì chỉ mong từ đây đến phút cuối vẫn có người không quên mình đã từng tồn tại,Sadness
coi mà lộn ruột .,Anger
a per doi dap rat tuyet voi . chuc anh thanh cong trong vu nay .,Enjoyment
dân kinh doanh khoái đi chợ này lắm nè,Enjoyment
tiếc cho mối tình ấy ....,Sadness
nhanh bất ngờ đấy,Surprise
tao cũng phải về mở cho mẹ tao coi 😂😂,Enjoyment
hơi bị nhanh trí :)),Enjoyment
giun này mà xào thêm ít xả ớt thì tuyệt cú mèo 🤣,Enjoyment
cưng xỉu ??,Enjoyment
"ngày trước cái thằng ngồi cạnh nhờ nó né cái mông để lấy cái bút dưới bàn nó nó đéo né . cuối cùng nó phải lên phòng ý tế băng đầu ( lớp 1 🤣) "" tôi đã nợ chàng trai ấy một cái "" đập đầu "" ""🤣",Disgust
êu tự ý đụng chạm vào người khác đã là vô duyên hãm lồn rồi . nhất là con gái . bọn này ý thức như đách lol,Disgust
nhớ tới mối tình đơn phương !,Sadness
dã man quá ..,Fear
"nhẹ tay quá phải hơn nữa , may mắn là nó chưa cắn ai hay làm gì ai",Disgust
per ly trà sen của anh đem qua có ngày nó thành như v đó 😭😭 hức hức ...,Sadness
chẳng bù tuổi thơ tao đi học toàn gặp mấy thằng ông nội mắc thần bố . gặp mặt tao là đánh với bắt nạt tao có trò mới là bắt tao ra thử trước bà mẹ nó :))) cái phường bất lương,Anger
per my nè kkk,Enjoyment
may không có ai trong nhà,Other
ngồi ăn mà 3 đứa cứ nhìn châm châm thế này sao nuốt nổi ??????,Other
có gì vui không nhỉ,Other
gắn bó thời sinh viên nè,Enjoyment
"thôi mày đừng saolol , hoang tưởng thâm niên à , nó mở mồm ra cái là nó đào cả họ hàng mày nên nó chửi cho biết mặt . nhìn lằm nhìn lốn 😒😒",Disgust
"haha dần dần phải kiềm chế , khắc phục sẽ không đáng sợ không bằng vũ lực hành động mà nói đâu chết đó :)) kaka",Enjoyment
vì mình chỉ là giờ giải lao trong một hiệp chơi chính của họ,Sadness
sợ thế,Fear
hihi mắc cười quá,Enjoyment
"per anh không nặn đi , mai mốt nó sẽ chaii dầy nè hihii :)))",Enjoyment
bn tao vẽ đẹp vãi nhưng nó lại mắc bệnh lười nếu nó vẽ thì nó sẽ vẽ he .. n .... tai :v,Other
đi chơi còn bỏ quên cả não ấy,Disgust
hú hồn chim én :) nào làm ra này chắc cũng ngáo dữ :) chắc add không sợ nhện :),Fear
yêu dã man kkk,Enjoyment
"đất nước bao nhiêu khoản phải tri trả , nhưng phải trả cho một đám cổ động viên quá khích thì quả là không đáng , các cụ đã bảo mọi sự ngu dốt đều phải trá giá bằng tiền mặt , bảo dân trí thấp lại tự ái :))",Disgust
"chỉ là nghe bạn nói , chẳng thấy bằng chứng đâu",Other
"hành nó đưa đèn ông sao lên nữa chứ , ác vãi , ta nhớ lại còn cay ?",Anger
đẹp trai mà bị đá à =)),Surprise
kiểu định share vì thấy tinh thần khá hơn nhưng đọc bình luận xong kiểu nhiều đứa còn tiêu cực hơn mình :<,Sadness
đắt quá thôi không ly hôn nữa,Other
thôi tốt nhất đừng có diễn . nể nhất mấy bố giả vờ khóc xong ôm ôm lợi dụng rờ mông con gái nhà người ta,Disgust
"gặp cái này "" sun "" mẹ nó vào ... :))",Fear
"chuẩn . tao mà chơi hoặc làm việc cùng bọn con gái tính công chúa một thời gian thì tao ngày nào cũng sờ troét , sau đó bị trầm cảm .",Fear
bé có năng khiếu làm cô giáo dạy văn ... nghe thì nghĩ tục nhưng đời thường là có thật ... bác nghe thấy đồng cảm với các cháu,Sadness
nhưng mà người khác nhìn vào bảo thế là lẳng lơ,Disgust
nhìn 2 đôi giày đó mà nói 1967 .... thôi thôi !!!!,Other
chẳng ai biết và riêng mình càng không muốn biết !,Other
"per đoạn thằng kia tán trái sầu riêng , không trượt phát nào 🤣🤣",Enjoyment
đấm cho liên tục vào mồm đéo trượt phát lòn nào cả =)),Other
bài lồn đó nghe hãm vãi đéo hiểu sao lại thích,Disgust
per giống câu chuyện anh kể hôm bữa qua ha ... con chó này 3 lanh thiệt ak ...,Surprise
bạn khốn nạn,Anger
t mới tính tới bước thất bại chưa tính tới thành công :)),Sadness
còn buồn hơn là cố quan tâm thế nào họ vẫn không hề rep lại,Sadness
h chỉ pk nhìn họ bên người khác :((,Sadness
tao cũng vậy nè . lắm lúc đi với chồng mà cứ hỏi bên này bên phải nhỉ bên này bên trái nhỉ . mệt mỏi,Sadness
"66 năm không làm việc nhà giúp vợ hoặc có làm thì cũng phát được , phát không",Disgust
buồn cười 😂😂,Enjoyment
cãi tay đôi luôn hahhaa,Enjoyment
cứ mỗi lần cắt tóc xong tao lại thấy biết ơn bố mẹ vì đã sinh ra tao đzai vãi :))),Enjoyment
buồn nào rồi cũng sẽ qua chỉ có buồn ngủ không tha ngày nào thôi,Other
per =))))) đúng kiểu sáng tạo :)),Enjoyment
"cắt cái tai vứt mẹ cho rồi , gớm chết mẹ",Disgust
"ai nói kết có hậu , đầu khấc mất vợ tương lai kia kìa",Sadness
"hồi trước nghe câu : "" gái ham tài , trai ham sắc "" nên cố học hành cho nó ham , ai ngờ giờ mới biết nó ham tài sản chứ không phải tài năng .",Disgust
thế giới này thật đáng sợ :3 trả đĩa bay cho tôi về đi :3,Fear
per đã thích phá game còn thích hổ báo,Disgust
"thật ra nó không quên đường về nhà đâu , nó muốn đi bụi thôi",Other
t có 2 con bạn thân nó thì cao trọc trời còn tao thì ... . buồn,Sadness
đmm cái quần ngàn thu,Disgust
per bài của anh luôn nè,Other
nhưng liệu như vậy sẽ dễ dàng để người khác xen vào không :),Other
xin lô ̃ i chư ́ tao te ́ ma ̀ thă ̀ người lz camera quay câ ̣ n mă ̣ tao như thê ́ thi ̀ tao đe ́ o đa ́ không đâu,Anger
em này xinh vãi các bác ạ .,Enjoyment
thì ghi bằng tay phải cho nhanh,Other
đáng iêu vãi =]],Enjoyment
anh tây nói tiếng việt giỏi thiệt .,Surprise
có người đến gần cuối đời rồi vẫn còn khổ ! :(,Sadness
mày xuống thì xuống mẹ mày đi . ngứa cả mắt 😩😩😩😩😩,Anger
phim này hay dã man luôn - có ai biết phim nào kiểu dạng này nữa o 😍😍😍,Enjoyment
"dume về bố lại táng cho bờm đầu , có thể là lần cuối được đi xem đá bóng của cháu nó :))",Disgust
làm như đứa con gái nào cũng ham tiền . gái tốt thíu gì,Disgust
"khuyến cáo "" đừng nên học võ khi không có tiền mua dụng cụ "" per",Other
hết muốn ăn luôn,Disgust
vợ chồng đã hiểu và sống tốt . thì với tôi ngày nào cũng là ngày tao / y .,Enjoyment
gặp bố bố tung phát chụp cây dù bố xiên cho cái đừng hỏi sau tức nước thủng mắt,Anger
tha cho cô chú đó đi,Disgust
"những người trẻ với tấm lòng nhân hậu , các bạn thật đáng yêu .",Enjoyment
nghe cũng đúng đúng :)),Enjoyment
chuẩn,Enjoyment
"trung thu là tết thiếu nhi , yêu đường gì liên quan ở đây .. gấu với chả bò",Anger
waooooo . hợp lí ghe,Enjoyment
nhìn thôi đã đau lòng,Sadness
ở miền nam nó vẫn không được giá như trước nhưng cũng dư giả,Other
per sợ nhện đúng không :)),Fear
per sau khi cưới,Other
"per bắt được chắc nó mềm xương , chơi mất dạy 😔😔",Anger
con này không có cái quần nào mặc cho đàng hoàng 🤦‍♀️,Disgust
mấy nay tao cũng bị ám ảnh,Fear
"có lần tao thổi cơm không đổ nước lúc khét mở vung ra mới biết , làm đánh đít xong cả tiếng trời không hết",Sadness
nhưng đảm bảo coi cái nào là cười sặc cái đó :)) vì nó diễn tệ đến nỗi nó hay,Enjoyment
"đúng rồi , tưởng vậy nhưng hóa ra không phải ...",Other
dăm ba cái nồi này sao nấu ngon bằng cơm điện nhà tao được . kaka,Enjoyment
"phải người vô ý thức , đành rằng người ta làm kiếm tiền nghề gì cũng là nghề mình phải biết tôn trọng người khác , có tôn trọng người thì người mới tôn trọng mình . kể cả người ta đi ăn xin mình cũng cho đoàng hoàng chứ không thể cầm tiền quăng cái víu vào người ta được",Disgust
rồi các em cũng ăn cứt thôi :)),Disgust
ukm . nguy hiểm thật :'<,Fear
quá độc ác,Disgust
per tao đã làm cho mày đau lòng nhiều lắm ư 🤔,Sadness
đi tù thôi các cháu,Disgust
"ghê tởm , ông thầy đó 🙄",Disgust
"mày đúng là nên gặp bác sĩ tâm lý , và hoàn toàn nghe theo bác sĩ",Other
đm tao biết trước cả sự việc kiểu lìn gì cũng có nhện nhảy lên màn hình . vì mấy năm trước cũng có 1 thể loại giống như vậy . đm hú nhồn,Fear
đôi khi công việc không áp lực .... nhưng chính môi trường làm mọi thứ trở nên áp lực,Other
hỏi lồn gì lắm thế,Anger
bài này hay quá,Surprise
hồi đó tao lấy cái đó kẻ tập luôn kiểu làm màu mè cho đẹp xong lên trả bài bị bà cô trừ điểm ????,Sadness
"giơ cao đánh khẽ , cảnh cáo cho có lệ",Anger
tao thầy mày cười hí hửng vại mà ?,Enjoyment
gần 1h đêm là con trai mà xem xong nói chuyện mắt vẫn rỡi 😔😔,Sadness
mới có 3 năm thôi mà ... vậy mà chúng ta còn không tụ họp được lần nào cả,Sadness
những người như thế này tử hình,Disgust
ngôn tình từ anh mà ra,Enjoyment
đm phí hết sức :((,Disgust
🙁 bị rớt tiền,Sadness
"tôi kể các bạn nghe 1 chuyện có dính 1 tý với caphe tn : chuyện thế này ba vợ tôi có 1 người bạn rất khó khắn nghèo và đang trốn nợ , ba tôi cho ông chiếc xe máy củ để đi xe ôm . vợ chồng ông bạn này bỏ quê trốn nợ lên tây nguyên làm công cho nhà máy caphe tn trong 4 năm học được nghề làm caphe và sáng lập caphe tuấn kiệt caphe công thức y chang tn bán hợp lý hơn ! ngày nay ông chủ tuấn kiệt đã là 1 đại gia có nhà máy ở sốc trăng , ông ấy đi tìm và trả nợ từng người ơn của mình ! mổi lần ba tôi lên sg ông đều cho xe tới mời ba tôi đi ăn nhậu ! trong lúc ngà ngà ông ấy nói "" em chả bao giờ uống caphe của em làm , tn cũng vậy "" thế đó",Disgust
mong mai sau cũng được như ông bà,Enjoyment
nó ngáo đá . nay nó leo cột điện . mợ cứu nó xuống mai nó làm vài mạng người,Disgust
nó cười với người khác chứ * beep * phải tao :((,Sadness
xem lại quá nhiều lần đến nỗi không nhớ nổi . vì phim quá hay và ý nghĩa .,Enjoyment
ahihi khá là buồn cười,Enjoyment
t ngắm người yêu tao cười mà càng ngắm tao càng yêu lúc giận cơ nhìn muốn cắn cho mấy phát tao bị cuồng người yêu rồi cái,Enjoyment
đừng có xàm lồn trên này,Disgust
gặp tao tao thuê giang hồ tới chém hết cả nhà nó luôn,Anger
"địt mẹ mày viết lên chỗ nào nước đéo tới ấy , ngulon",Anger
"những thứ tưởng chừng như rất đẹp nhưng kbh được trọn vẹn , cuối cùng để lại chỉ là những kỉ niệm đã từng :))",Sadness
"ba chàng ngốc , phim ấn độ , cực hài , cực cảm động và ý nghĩa nhé",Enjoyment
"1 bộ phim phải nói trên cả tuyệt vời , xem đi xem lại cả chục lần rồi mà không ngán",Enjoyment
bây giờ tao lấy chồng rồi còn không có cơ hội ngủ với em gái 😫,Sadness
cái mặt cưng xĩu,Enjoyment
per đây là chúng mềnh 🤪🤪,Enjoyment
ngu như mày thì khỏe,Disgust
không biết có ai ở trong ngôi nhà không,Fear
hình như cũng mới có vụ bể bình dâu tằm,Other
tao bị biến dạng luôn một tay,Sadness
mai đi học mà mình quên cách cầm bút rồi huhu :<,Sadness
chời ơi gì vậy ở giây thứ cuối cùng anh em nha :))),Surprise
nó chi ̉ muô ́ n tâm sư ̣ chư ́ thi ́ ch me ́ o đâu ma ̀ thi ́ ch,Disgust
per mỏi chân quái :v,Sadness
"đúng là không sợ địch mạnh , chỉ sợ chỉ huy ngu như bò",Disgust
về việt nam thì gọi nó là ngáo chó,Disgust
per con nhện cản bước bé xuống cầu thang =))))),Fear
cả 2 loại người này đều đáng sợ !,Fear
đm cười ĩa,Enjoyment
per hôn nhẹ lên má nha 🤣,Enjoyment
"có lần ba tao mua bánh kem sinh nhật cho tao , lúc đấy tao 13t nhưng khi ba tao mua về thì lại là 15t 😶",Sadness
con dựt gái đây sao hahaha,Enjoyment
hot đến vậy cơ à ? mình chưa nghe bao giờ luôn .,Surprise
"cả thế giới biết toau crush mày , còn mày thì íu nhận ra 😐",Sadness
vô ý thức,Disgust
"cưỡng hôn 200 nghìn , thu trăm tỷ phạt 5 triệu , đói trộm 2 cái bánh mỳ 45k phạt đi tù",Disgust
chính xác ! nơi làm việc anh em mà đoàn kết với nhau cỡ nào cũng thấy mau hết giờ làm . 😊😊😊,Enjoyment
phim cắt mất đoạn hay của manga rồi dume,Anger
đang ăn . nói nói con cặc 😒😒,Anger
tôm này vào là nó diệt hết tôm bản địa luôn,Other
"bởi vì anh đã gặp em đúng lúc , đúng lúc đó em đã có người thương ...",Sadness
tại sao phải đứng ngồi nhìn ? lên bankon cột võng nằm coi mới đã ..,Enjoyment
"loại bi này ngon quá , vừa uống",Surprise
10 đứa bạn thì có 9 đứa là con trai rồi . sau nhiều năm kinh nghiệm thì chơi với nhiều trai thì sẽ bị ế muôn đời muôn kiếp . haizaaa ...,Sadness
"xem đi xem lại không chán , best của best 😭",Enjoyment
tán mãi mới đổ muốn chia tay cũng phải từ từ,Other
"gấu của thằng da đen ngon vkl , mà công nhận chạy nhanh vãi",Surprise
đag bị cuồng mấy video của chế này . ai có ngoài video này tag cho mình xem với nhé 😂😂,Enjoyment
học rmit thì chắc chắn là gia phả nhà nó giàu vcd rồi . thế thì chọn thằng có tiền học bổng chứ còn gì nữa -)),Other
tại sao không áp dụng khoảng 2 điều 320 luật hình sự 2015 phạt tù từ 3 - 10 năm về tội hành nghề mê tín dị đoan gây ảnh hưởng xấu đến an ninh trật tự và an toàn xh mà chỉ phạt con mụ đó 5 triệu đồng ? hay là vong đòi phạt hành chính 5tr thôi 😬,Disgust
per hình như nhà bác có 01 chiếc thì phải ?,Other
soi mà không đủ tiền mua thì soi làm gì,Disgust
làm sao tôi có thể yêu được loài người đây ???,Other
trong nhà không biết có ai không nữa ? sập quả này sợ thật đấy,Fear
toàn lũ chó thèm khát,Disgust
per nhu cầu của mày khoái xem mấy video này nên tao tag mày,Other
và cuối cùng là được đối xử như một thằng con trai luôn ..,Sadness
chỉ tại nó không có ai để nói chuyện nên nói chuyện với mày giết thời gian thôi . ai bỉu mày tưởng tượng chi,Disgust
sao nhiều thằng cưa bàn giống tao vậy ??,Surprise
ngày trước mình qua singapore cũng vậy . dư hành lý 2 chi em mă ̣ c 4 bộ lên người kkk,Enjoyment
tuổi lồn hù được bố m,Fear
per kìa 3 chị em vào mà hốt hàng về đi chứ hâha,Enjoyment
"ngày xưa có đĩa phim này . bố đi công tác về thấy cái đĩa tên là "" cô dâu 15 tuổi "" . má ăn chửi sấp mặt ...",Sadness
may mà còn gỡ lại được 1 miếng sắt lớn của tàu hỏa nó bung ra nên bán đi cũng đỡ được vài đồng . kaka,Enjoyment
cười lộn ruột,Enjoyment
chờ thằng kia lật mặt mãi không thấy,Other
thật ra đàn ông ghen nhiều hơn phụ nữ đấy chứ,Other
rất có tố chất . liên đoàn xe đạp việt nam có thể liên hệ để đào tạo được đấy,Enjoyment
nhắn với người yêu còn đéo nhẹ nhàng như vậy =)),Enjoyment
chơi khăm vãi thế ba,Disgust
tớ chỉ an ủi bạn í thôi mà :(,Sadness
cha mẹ cho ta cả cuộc đời rồi còn than gì nữa,Disgust
alo ở đây có thằng điên mày à . đến bắt nó hộ tao phát,Disgust
thích bài này lắm lun . thuộc lun,Enjoyment
nhìn mày thế kia đến tao còn thích ngủ cùng huống gì em mày,Enjoyment
"per hihi học ở đâu không quan trọng , quan trọng là bọn mình luôn có nhau hihi",Enjoyment
lúc đi họp lớp thì đếu thấy ai,Other
gặp em đúng lúc nhưng sao anh vẫn thấy mình cô đơn quá .,Sadness
mua được bộ đồ cho tết điệu đà tán gái mà như thế nào đây thì tán sao được,Other
chua cay bùi ngọt mặn cái chả có .,Other
nó lại dễ con ạ :v,Enjoyment
chi tiết đẹp đấy,Surprise
"đm đi học bị mấy con điên này đuổi cắn , dume vì nó mà tao sợ quá chạy té sấp mặt luôn trầy hết con mẹ nó tay chân . thứ dòng đỹ gì đâu á :))",Other
"bếp lò xô nấu bằng dầu hôi đây mà ,!",Other
per dume đái trong quần,Fear
"người ta dùng kiến lá , ông lại dùng kiến cứt thì thua ông rồi",Disgust
rớt giá kinh khủng khiếp huhu,Sadness
mai đến phòng đi tập luôn,Enjoyment
per bây giờ thì không nói nhưng mà cảm giác phủ nhận vai trò bà thảo ngày xưa . vl không chị đọc thấy viết khập khiễng quá :))),Disgust
aw giống tao vậy =))) mấy thứ linh tinh tao còn để nguyên vào 1 cái hộp bự cơ,Enjoyment
🤣🤣🤣🤣 bo tay chấm cơm . hahaha,Enjoyment
giờ mới biết,Other
cmt thế thôi chứ thật ra còn trả dám ấn vào video để xem . đời tao tởm nhất là lũ nhện mà hay gặp vãi :((((,Fear
cái loại ngu si này nên nhốt nó tù chung thân lao động công ích cho nhà tù để giúp ích lại những cái nó đã phá hoại,Anger
mẹ con điên,Anger
tuyệt vời . aeon mall có khác,Enjoyment
loạn luân cũng được . đcm ạ,Disgust
tội cả con quá 😭😭 một lũ vô nhân tính đã hủy hoại những mầm non tương lai .,Sadness
là con bé con điên khùng và phiền vãi nhưng bạn vẫn yêu nó vãi chưởng :)))))),Enjoyment
mịa thằng ghép nhạc :)))),Disgust
chợt nhớ câu hát ông bà anh yêu nhau thời chưa có xe hơi ...,Other
thôi ctay đi chứ yêu con người như này chả chết vì bệnh mà chết vì vô tâm mất,Disgust
per người đừng hành hạ tuôi như thế nào nữa,Sadness
lạc quan lên cưng ❤,Enjoyment
cách xử lý của cô chủ nhiệm quá tồi .,Disgust
bọn chủ tịch đến chưa chúng mày ?,Other
giống tao nhưng tay trái tao có thẹo do mẹ tao xưa cắt trúng nên nhìn thẹo để phân biệt thôi chứ kêu phải ứng liền là không được,Other
vào sg 50k / không cũng mua . 100k / không cũng mua ! ha ha,Enjoyment
nó lại hợp lí vãi,Enjoyment
"quỳ vậy thôi có gì mà phạt giáo viên nhỉ , riết phụ huynh giờ thấy làm quá đáng thiệt",Disgust
lớp tao tỉnh rụi . đi học chứ có phải đi chết đéo đâu mà khóc lóc :),Disgust
ngày xưa mỗi lần tao làm ồn là ngoại tao liền la hoặc lấy roi đánh 😅 nhưng lúc đó vui lắm 😊,Enjoyment
"em cũng đi lead này , nhưng đừng gọi em là ninja được không , xin luôn đấy",Sadness
tự nhiên nhớ cái cảnh 2 con bánh bèo bị ngỗng dí quá 😅😅 per,Enjoyment
thề nhìn họ hôn nhau thôi mà nổi hết gai ốc . chưa dám nghĩ tới xxx . chắc thốn lắm . lạnh sống lưng thật .,Fear
dù s đi nữa thì mày vẫn xinh . cố lên,Enjoyment
sài gòn vẫn có cách sống rất nhân văn .,Enjoyment
đi ngoài đường trái phải còn không biết mà vẫn sống thì giỏi đấy nhỉ,Disgust
thật vi diệu,Enjoyment
nuôi sao mà trông béo tốt thế kia :v chỉ bí quyết đi,Other
agribank thì bình quân bao nhiêu nhỉ . mấy cán bộ agri thấy hách lắm .,Disgust
ly hôn kiểu này thì không cần tới bước cuối cùng . chỉ cần tới bước tính xem trả lại tiền mừng là tao bỏ ngay ý định ly hôn luôn rồi ... kkkk,Enjoyment
"nhìn mặt đã thấy hãm , mọi người chửi bỏ mẹ con mẹ phụ huynh đi",Anger
mày không được ăn đồ chua nhưng phòng toàn xoài chua :(,Sadness
per bày đặt ngày hôm qua đã từng đồ,Disgust
sau khi bố xem video của con xong thì bố rút ra 1 điều . bố không chỉ chửi con lúc con cầm đũa mà bố sẽ chửi con cả ngày thân ái ... yêu con,Enjoyment
có đứa nào hồi bé không biết nấu còn tranh làm rồi quên không đổ nước như tao không :))),Sadness
đỉnh của đỉnh 🙂,Enjoyment
các bác cứ tích cực vào . em chả quan tâm,Other
ở việt nam mà vác dao rạch tại chỗ thể này người nhà nó chả đấm cho sưng mõm rồi 🌝,Disgust
"trung thu là ngày cho trẻ em chứ đéo phải ngày tạo ra trẻ em nhé . dume bọn có gấu tém tém lại , kiểm tra xem có thêm cái sừng nào không ?",Anger
per tao nghĩ nên triệt sản mày,Other
"rẻ nhỉ , sao có thể giảm tới mức đó vậy ta",Surprise
"có rồi mà , nghén rồi nè hihi",Enjoyment
qtrong là mày phải có tiền chứ nghèo xem,Other
anh đừng bỏ em đi mà 😢,Sadness
người ghép có tâm 😁😁,Enjoyment
per hôm nào chụp kiểu nhỉ .,Other
"per bất hạnh vãi , mà tao với mày đéo tạo được niềm vui :v",Sadness
gu âm nhạc óc chó mới nghr cái bài này . toàn đú theo mấy cái thể loại hãm,Disgust
mỗi năm cũng xem lại đôi lần,Other
per cảm ơn mọi người . do em thích mấy cái văn hoá tưng vùng để tìm hiểu,Enjoyment
hu hu đã bị chụp,Sadness
con này bán kem bôi não ... xóa bỏ nếp nhăn .. khiến não láng mịn 😌😌😌😌,Disgust
ngu không chịu được,Disgust
per hồi ở tam kì hay nghe ... giờ nghe lại buồn ds,Sadness
bạn gái nào xinh xinh mà bị lạc thì vào nhà mình cho ngủ nhờ này . ??,Enjoyment
huhu sợ vãi luôn á,Fear
hỏng rồi . dùng đồ như phá,Disgust
"chỉ có bạo lực mới giải quyết được bạo lực , tao mà làm luật tao sẽ hạ tuổi người lớn là 13 tuổi , đem nó lao động khổ sai 10 năn",Anger
tao nhiều tài lắm .. nhưng tài sản còn cái mạng què và đôi tay trắng 😭😭,Sadness
có ai bịt loa như tao không 😁,Other
"mấy thằng dẫn gấu đi thì tránh xa đám đông ra nhé , đừng chen đẩy kiểu bố láo , thằng đẩy tao đã bị xơi cùi trỏ rồi đấy ,",Other
nhìn là thấy nóng rồi,Other
"làm con người còn sức khoẻ , còn lành lặn mà vác mặt vào ăn cơm từ thiện thì chết con mẹ nó đi cho đỡ chật đất , cơm này dành cho những người không còn khả năng lao động , hoặc vô gia cư và hoàn cảnh quá khó khăn thôi",Anger
tự hỏi rằng những bạn nữ như thế nào thì họ có còn thích con trai không nhỉ 🤔,Other
cặp phụ lúc nào cũng đáng yêu .,Enjoyment
pháp không còn khoảng thời gian bình yên nữa rồi,Sadness
con ước mình cũng có 1 tình yêu đẹp như ông bà vậy < 3,Enjoyment
cô giáo là người nhà của mấy đứa đầu gấu à =))))),Surprise
"tôi cũng thấy điêu điêu , nét chữ này của người lớn mà . chí ít cũng phải cấp 3 rồi .",Disgust
phải con tao tao cho cả lũ chó cụt tay hết !,Anger
cưng chết,Enjoyment
con gái hiện giờ .. nấu kiểu này thì thôi xong ... cháy luôn cả nhà 😂,Other
"per đường đi về anh ợ , ô tô chắn hết đg chả đi được ??",Other
ghê vậy,Disgust
nếu không có khúc cua cuối thì video này ý nghĩa đó chớ 🤣🤣,Enjoyment
dễ thương . cứ yêu đi ngại gì .,Enjoyment
hay lắm :))),Enjoyment
dume con ế đọc tổn thương sâu con mẹ nó sắc :((,Sadness
chắc ông này không có vợ :)),Disgust
coi phim này không .. dễ thương lắm ..,Enjoyment
đúng vậy . haha,Enjoyment
tại sao cứ đa số là trèo cột điện với mái nhà nhỉ . ai giải thích mình với ??,Other
lâu lắm rồi mà gio mới xử phạt,Anger
đáng yêu quá,Enjoyment
tuần sau nữa mới học =))),Enjoyment
"per sợ chưa , ông bác hơi bị cứng nhé :))))",Enjoyment
"phàm là việc đại sự trong thiên hạ , cứ về hỏi vợ . vợ bảo sao thì làm ngược lại . ắt thành công !!!",Other
bọn hại người không gươm không dao . bọn tiêu diệt nguồn lực tương lai của dân tộc . nên đưa tội thực phẩm bẩn vào khung tử hình đi . mong nhà nước thay đổi một số luật định đi .,Anger
per bữa nào làm thử mày,Other
cần 1 thời gian dài thật dài nữa thì ý thức mới đi lên được,Other
"trên đường tao đi làm cũng có 2 con , mỗi lần chay tới là nó vương cổ ra như kiểu muốn hút tao trong khi tao không làm gì nó , cứ mỗi lần chạy tới là tao cách ly cả "" nghìn mét "" với nó , thấy nó sợ bỏ mẹ . đúng chất con ngang",Fear
đội nào cũng xứng đáng hơi tiếc cho per,Other
:))) có thật nhiều tiền là vui,Enjoyment
"anw , vote cho anh vũ",Enjoyment
ý là giọng quê tao đó hã,Enjoyment
tao thì ngược lại .. cắt xong nhìn như thằng trốn trại vậy,Sadness
chúc mừng cp . cố lên cp .,Enjoyment
đáng tiếc đời không như là mơ . thực tế sẽ vả vào mặt cho mày tỉnh ra :(,Sadness
